"Data Source","World Development Indicators",

"Last Updated Date","2025-12-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6681564.24581006","6703910.61452514","6586592.17877095","6793296.08938548","6603351.95530726","348603.351955307","353072.625698324","354189.944134078","368156.424581006","396089.38547486","408938.547486034","432402.234636871","477653.631284916","483240.223463687","508379.888268156","502793.296089385","537988.826815642","561452.51396648","486033.519553073","413407.82122905","370949.720670391","555307.262569832","739664.804469274","729050.279329609","936312.849162011","","","","","",
"Africa Eastern and Southern","AFE","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","26316343923.0818","24276136920.8938","23120522599.9803","23375642529.32","23666577519.9247","26076778790.4366","30816973563.1873","35380259730.0303","37817787802.6883","44564767041.4068","52289112455.6001","29925940437.5616","30518343701.1295","29684698612.5675","32480834378.7404","33795901957.9876","37334335558.5499","35447987329.0637","32474649101.1061","35898982053.6021","32623630450.7475","34159898768.0748","39087384325.1919","43548409315.3534","50430704561.3085","58027336404.0977","72849962806.8114","86986481811.3334","89491806794.3133","92637752959.422","95612535316.8801","103298181499.171","107485968894.34","117097189674.037","115473764448.913","107690516395.001","121107106626.375","120595650075.193","127493781030.492","136678613809.426","145384142573.719","164781260933.64","175808777509.298","185981130947.93",
"Afghanistan","AFG","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1477787814.89031","1691686554.69326","1552895061.63349","1930134271.84251","1996430511.50265","2934602243.82149","2516433516.78043","3637622477.63069","4156043696.24108","4227582690.79689","4855571648.43621","4595531180.00041","4537457828.43798","3948217043.4989","4663262627.13517","4954700541.75017","3979453237.53176","4845363322.05338","5981905980.86851","4791018919.53499","4885778832.03434","5959243270.69578","",
"Africa Western and Central","AFW","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","33525071926.4434","32022839686.6594","25956880774.4469","24351551507.4977","24940826000.4458","24608410441.1249","27591326564.7496","29079998811.3099","26380842828.3552","30008495839.6437","31533767983.9342","30088926995.5558","31223043095.654","33880497567.1257","52947780798.5321","67144946464.2003","72795557031.2776","80108042937.785","33054082187.0312","29578406045.6439","34440940752.9626","53489824199.0873","57524001420.4292","61524658716.1581","73980294127.8451","89852777818.215","103855353305.677","129984185043.514","122091998736.854","134252616622.734","142018291614.542","152441543969.872","165740373729.518","173539982324.878","156944975618.274","144181090050.127","141286525548.799","159842586236.583","172968461267.576","179138505373.031","186460512378.181","197528518294.353","172741386143.198","136898295161.556",
"Angola","AGO","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","368504825.790174","528871793.023926","688508557.457213","840030140.724599","387034678.679875","517163213.467318","728860303.868072","892609805.416271","1104099920.46114","1472210369.61056","1870876558.19283","2719245780.83695","3421447161.01812","4254583303.0468","4655177798.32225","5179053447.38064","6534871905.23209","7772338179.8636","8611957356.91188","10261491792.0578","8255567066.3448","5187083682.92144","7381539852.25525","6838910105.14577","5588620583.98399","4824228917.94555","7639008923.57836","14342216414.598","12640699299.2336","13206774101.4428",
"Albania","ALB","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","953958388.306049","1085547310.50466","663817099.522836","682880865.308283","775751293.265749","795022316.815732","830176232.075734","892341444.584198","1149181093.70433","1374901583.31596","1413929432.88199","1467888836.28338","1726743871.75267","2044740164.69522","1884774608.08868","1977190645.3379","2169240907.10466","2154326905.34096","2421806214.29523","2557914484.26242","2150331496.48615","2297891014.76126","2396972720.33431","2755324399.34461","2830318199.77187","2866329744.13254","3208472473.91808","3229979649.89317","3819957150.38005","4212008466.84749",
"Andorra","AND","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7407372.64331522","6842609.59082501","6808130.82378467","9920276.63904691","12028535.4022567","12030352.9332747","12229532.5419303","14595591.1173288","16693074.5713616","15454189.2347228","16094200.3334609","17803107.6836682","19169046.9847891","18699901.9922066","17589350.3850752","14323811.4174458","15120296.520686","16787062.2817723","17584412.6511485","16489859.5288098","16173496.9025018","17681967.6354589","16480211.1860232","18111249.5092304","18822596.3519212",
"Arab World","ARB","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","5458943072.49442","5788305442.14575","6686567950.53955","7362637666.40024","8758760960.97401","9856533786.13464","11793405746.9556","13420356743.1812","15515701915.5333","16961259017.0651","19504327594.3787","20213589759.0358","23266166147.5962","25640316369.9104","28164052608.2724","29756195849.627","32797177139.7331","34856903349.3687","38239435702.6123","41679586859.9887","45479486495.2676","51374382937.5802","67347793446.3162","57203255110.5485","41458883827.1406","43162715049.219","49780079064.268","48844648862.7455","51107760642.7531","52042211382.2697","56013057434.901","55990322463.1903","56062305682.1369","58094072599.212","58393160088.0201","61889236796.8977","65334539827.7383","70509538524.3997","80600996406.9177","93869173935.4051","107701305869.451","112498784731.081","122956753517.808","131869899013.617","130786364336.13","137328816152.818","146190656272.003","144883243293.512","137520858011.556","129874120265.385","134944600456.385","142012692509.631","145903615299.546","150581211634.971","161914557416.222","177782214329.347","196706196836.815",
"United Arab Emirates","ARE","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","","","","","","","","","","","79519650.8203777","104728676.836648","120667127.814926","149565601.048354","170874046.957865","213898550.587816","270498501.770635","298556251.702533","312721329.338055","352220103.514029","375919368.019613","402070280.577499","415962952.873876","434486515.935712","494688095.886679","536638518.114955","669027512.939254","747752655.952057","823753745.573413","1085535276.49142","1174884227.73086","1318714246.79924","1579950967.03895","1650374404.35671","1970319945.54118","2360789652.82505","2312321307.01157","2419605173.58747","2397004765.14636","2461810755.61607","2520353982.30089","2430496936.69163","2518992511.91287","2609938733.83254","2628999319.26481","2206466902.65487","2350542382.57318","2415136174.26821","2534073655.54799","2603546712.04901","2679578379.85024","2772601307.01157","2974791449.96596","3038302981.62015","3121180258.67937","3368537944.17971","3916872947.58339","3535950088.49558","3605117440.43567","",
"Argentina","ARG","Agriculture, forestry, and fishing, value added (current US$)","NV.AGR.TOTL.CD","","","","","","3657647056.60044","2942857060.50856","2420909129.36153","2570000119.25664","2871142801.33423","3043947529.01047","3617599855.69986","3815374911.49548","6280333430.12474","7410889160.41332","3452513642.24721","4171424983.67595","4591960171.9075","6682651626.3937","5399103642.90823","4889779676.74007","5094736992.14826","8090277995.49755","9002848956.56769","9757703167.93748","6729709924.5774","8258471348.61148","8807543104.62087","11392038083.9036","7368764600.79244","11483031946.9881","12742527110.645","13705657846.124","12161011111.1111","13084820500","13808477800","15269958100","15293015300","15702922200","12638962300","13300482400","12275651800","9974343869.19277","13177395614.839","13769497386.4639","15777249624.7271","16129176942.5676","21427791191.1784","26462268578.7967","17559926036.6081","30213817111.0998","37104355520.7365","31567304377.5225","33413631489.5722","35330279234.9601","30669352553.9863","34926979196.276","33672207049.2462","23815691141.681","23814083576.0785","24521654022.3675","35476761997.5008","42006484077.4328","38311319148.5955","37879476087.6562",
