m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
788,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Tunisia,2017,58.309859155,%,E,FALSE
788,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Tunisia,2018,63.54496208,%,E,FALSE
788,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Tunisia,2019,63.553629469,%,E,FALSE
788,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Tunisia,2020,58.72156013,%,E,FALSE
788,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Tunisia,2021,58.72156013,%,E,FALSE
788,Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Tunisia,2022,58.72156013,%,E,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Tunisia,2017,122.964177125,US$/m3,E,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Tunisia,2018,252.684477919,US$/m3,E,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Tunisia,2019,169.871972183,US$/m3,E,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Tunisia,2020,152.793761637,US$/m3,E,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Tunisia,2021,170.847462277,US$/m3,E,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Tunisia,2022,176.554143344,US$/m3,E,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Tunisia,2017,0.276028594,US$/m3,E,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Tunisia,2018,0.32053467,US$/m3,E,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Tunisia,2019,0.316437185,US$/m3,E,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Tunisia,2020,0.314001113,US$/m3,E,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Tunisia,2021,0.319949857,US$/m3,E,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Tunisia,2022,0.317113947,US$/m3,E,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Tunisia,2017,36.6450427,US$/m3,E,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Tunisia,2018,35.523875001,US$/m3,E,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Tunisia,2019,37.527674268,US$/m3,E,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Tunisia,2020,35.761483813,US$/m3,E,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Tunisia,2021,37.365648126,US$/m3,E,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Tunisia,2022,38.400868223,US$/m3,E,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Tunisia,2017,11.727925758,US$/m3,I,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Tunisia,2018,11.263467845,US$/m3,I,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Tunisia,2019,11.44371641,US$/m3,I,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Tunisia,2020,11.003057064,US$/m3,I,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Tunisia,2021,11.683728627,US$/m3,I,FALSE
788,Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Tunisia,2022,12.015383929,US$/m3,I,FALSE
788,Water use,Pressure on water resources,SDG 6.4.2. Agricultural Sector Contribution to Water Stress,Tunisia,2017,66.628308585,%,E,FALSE
788,Water use,Pressure on water resources,SDG 6.4.2. Agricultural Sector Contribution to Water Stress,Tunisia,2018,73.224445535,%,E,FALSE
