m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
788,Geography and population,"Economy, development and food security",% of agricultural GVA produced by irrigated agriculture,Tunisia,2017,16.643400031,%,E,false
788,Geography and population,"Economy, development and food security",% of agricultural GVA produced by irrigated agriculture,Tunisia,2018,18.656498168,%,E,false
788,Geography and population,"Economy, development and food security",% of agricultural GVA produced by irrigated agriculture,Tunisia,2019,18.374894336,%,E,false
788,Geography and population,"Economy, development and food security",% of agricultural GVA produced by irrigated agriculture,Tunisia,2020,17.346146895,%,E,false
788,Geography and population,"Economy, development and food security",% of agricultural GVA produced by irrigated agriculture,Tunisia,2021,17.346146895,%,E,false
788,Geography and population,"Economy, development and food security",% of agricultural GVA produced by irrigated agriculture,Tunisia,2022,17.346146895,%,E,false
788,Irrigation and drainage development,Irrigated crop yield,Ratio between rainfed and irrigated yields,Tunisia,2017,2.146,,I,false
788,Irrigation and drainage development,Irrigated crop yield,Ratio between rainfed and irrigated yields,Tunisia,2018,2.146,,I,false
788,Irrigation and drainage development,Irrigated crop yield,Ratio between rainfed and irrigated yields,Tunisia,2019,2.146,,I,false
788,Irrigation and drainage development,Irrigated crop yield,Ratio between rainfed and irrigated yields,Tunisia,2020,2.146,,I,false
788,Irrigation and drainage development,Irrigated crop yield,Ratio between rainfed and irrigated yields,Tunisia,2021,2.146,,I,false
788,Irrigation and drainage development,Irrigated crop yield,Ratio between rainfed and irrigated yields,Tunisia,2022,2.146,,I,false
788,Water resources,Precipitation,Long-term average annual precipitation in depth,Tunisia,2017,207,mm/year,X,false
788,Water resources,Precipitation,Long-term average annual precipitation in depth,Tunisia,2018,207,mm/year,X,false
788,Water resources,Precipitation,Long-term average annual precipitation in depth,Tunisia,2019,207,mm/year,I,false
788,Water resources,Precipitation,Long-term average annual precipitation in depth,Tunisia,2020,207,mm/year,I,false
788,Water resources,Precipitation,Long-term average annual precipitation in depth,Tunisia,2021,207,mm/year,I,false
788,Water resources,Precipitation,Long-term average annual precipitation in depth,Tunisia,2022,207,mm/year,I,false
788,Water resources,Precipitation,Long-term average annual precipitation in volume,Tunisia,2017,33.86727,10^9 m3/year,E,false
788,Water resources,Precipitation,Long-term average annual precipitation in volume,Tunisia,2018,33.86727,10^9 m3/year,E,false
